7,326
orderNumber int	orderDate string	requiredDate string	shippedDate string	status string	comments string	customerNumber int
10123	20-5-2003 0:00:00	29-5-2003 0:00:00	22-5-2003 0:00:00	Shipped		103
10124	21-5-2003 0:00:00	29-5-2003 0:00:00	25-5-2003 0:00:00	Shipped	Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch	112
10125	21-5-2003 0:00:00	27-5-2003 0:00:00	24-5-2003 0:00:00	Shipped		114
10126	28-5-2003 0:00:00	7-6-2003 0:00:00	2-6-2003 0:00:00	Shipped		458
10127	3-6-2003 0:00:00	9-6-2003 0:00:00	6-6-2003 0:00:00	Shipped	Customer requested special shippment. The instructions were passed along to the warehouse	151
10128	6-6-2003 0:00:00	12-6-2003 0:00:00	11-6-2003 0:00:00	Shipped		141
10129	12-6-2003 0:00:00	18-6-2003 0:00:00	14-6-2003 0:00:00	Shipped		324
10130	16-6-2003 0:00:00	24-6-2003 0:00:00	21-6-2003 0:00:00	Shipped		198
10131	16-6-2003 0:00:00	25-6-2003 0:00:00	21-6-2003 0:00:00	Shipped		447
10132	25-6-2003 0:00:00	1-7-2003 0:00:00	28-6-2003 0:00:00	Shipped		323
10133	27-6-2003 0:00:00	4-7-2003 0:00:00	3-7-2003 0:00:00	Shipped		141
10134	1-7-2003 0:00:00	10-7-2003 0:00:00	5-7-2003 0:00:00	Shipped		250
10135	2-7-2003 0:00:00	12-7-2003 0:00:00	3-7-2003 0:00:00	Shipped		124
10136	4-7-2003 0:00:00	14-7-2003 0:00:00	6-7-2003 0:00:00	Shipped	Customer is interested in buying more Ferrari models	242
10137	10-7-2003 0:00:00	20-7-2003 0:00:00	14-7-2003 0:00:00	Shipped		353
10138	7-7-2003 0:00:00	16-7-2003 0:00:00	13-7-2003 0:00:00	Shipped		496
10139	16-7-2003 0:00:00	23-7-2003 0:00:00	21-7-2003 0:00:00	Shipped		282
10140	24-7-2003 0:00:00	2-8-2003 0:00:00	30-7-2003 0:00:00	Shipped		161
10141	1-8-2003 0:00:00	9-8-2003 0:00:00	4-8-2003 0:00:00	Shipped		334
10142	8-8-2003 0:00:00	16-8-2003 0:00:00	13-8-2003 0:00:00	Shipped		124
10143	10-8-2003 0:00:00	18-8-2003 0:00:00	12-8-2003 0:00:00	Shipped	Can we deliver the new Ford Mustang models by end-of-quarter?	320
10144	13-8-2003 0:00:00	21-8-2003 0:00:00	14-8-2003 0:00:00	Shipped		381
10145	25-8-2003 0:00:00	2-9-2003 0:00:00	31-8-2003 0:00:00	Shipped		205
10146	3-9-2003 0:00:00	13-9-2003 0:00:00	6-9-2003 0:00:00	Shipped		447
10147	5-9-2003 0:00:00	12-9-2003 0:00:00	9-9-2003 0:00:00	Shipped		379
10148	11-9-2003 0:00:00	21-9-2003 0:00:00	15-9-2003 0:00:00	Shipped	They want to reevaluate their terms agreement with Finance.	276
10149	12-9-2003 0:00:00	18-9-2003 0:00:00	17-9-2003 0:00:00	Shipped		487
10150	19-9-2003 0:00:00	27-9-2003 0:00:00	21-9-2003 0:00:00	Shipped	They want to reevaluate their terms agreement with Finance.	148
10151	21-9-2003 0:00:00	30-9-2003 0:00:00	24-9-2003 0:00:00	Shipped		311
10152	25-9-2003 0:00:00	3-10-2003 0:00:00	1-10-2003 0:00:00	Shipped		333
10153	28-9-2003 0:00:00	5-10-2003 0:00:00	3-10-2003 0:00:00	Shipped		141
10154	2-10-2003 0:00:00	12-10-2003 0:00:00	8-10-2003 0:00:00	Shipped		219
10155	6-10-2003 0:00:00	13-10-2003 0:00:00	7-10-2003 0:00:00	Shipped		186
10156	8-10-2003 0:00:00	17-10-2003 0:00:00	11-10-2003 0:00:00	Shipped		141
10157	9-10-2003 0:00:00	15-10-2003 0:00:00	14-10-2003 0:00:00	Shipped		473
10158	10-10-2003 0:00:00	18-10-2003 0:00:00	15-10-2003 0:00:00	Shipped		121
10159	10-10-2003 0:00:00	19-10-2003 0:00:00	16-10-2003 0:00:00	Shipped		321
10160	11-10-2003 0:00:00	17-10-2003 0:00:00	17-10-2003 0:00:00	Shipped		347
10161	17-10-2003 0:00:00	25-10-2003 0:00:00	20-10-2003 0:00:00	Shipped		227
10162	18-10-2003 0:00:00	26-10-2003 0:00:00	19-10-2003 0:00:00	Shipped		321
10163	20-10-2003 0:00:00	27-10-2003 0:00:00	24-10-2003 0:00:00	Shipped		424
10164	21-10-2003 0:00:00	30-10-2003 0:00:00	23-10-2003 0:00:00	Resolved	This order was disputed, but resolved on 11/1/2003; Customer doesn't like the colors and precision of the models.	452
10165	22-10-2003 0:00:00	31-10-2003 0:00:00	26-12-2003 0:00:00	Shipped	This order was on hold because customers's credit limit had been exceeded. Order will ship when payment is received	148
10166	21-10-2003 0:00:00	30-10-2003 0:00:00	27-10-2003 0:00:00	Shipped		462
10167	23-10-2003 0:00:00	30-10-2003 0:00:00		Cancelled	Customer called to cancel. The warehouse was notified in time and the order didn't ship. They have a new VP of Sales and are shifting their sales model. Our VP of Sales should contact them.	448
10168	28-10-2003 0:00:00	3-11-2003 0:00:00	1-11-2003 0:00:00	Shipped		161
10169	4-11-2003 0:00:00	14-11-2003 0:00:00	9-11-2003 0:00:00	Shipped		276
10170	4-11-2003 0:00:00	12-11-2003 0:00:00	7-11-2003 0:00:00	Shipped		452
10171	5-11-2003 0:00:00	13-11-2003 0:00:00	7-11-2003 0:00:00	Shipped		233
10172	5-11-2003 0:00:00	14-11-2003 0:00:00	11-11-2003 0:00:00	Shipped		175
10173	5-11-2003 0:00:00	15-11-2003 0:00:00	9-11-2003 0:00:00	Shipped	Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches	278
10174	6-11-2003 0:00:00	15-11-2003 0:00:00	10-11-2003 0:00:00	Shipped		333
10175	6-11-2003 0:00:00	14-11-2003 0:00:00	9-11-2003 0:00:00	Shipped		324
10176	6-11-2003 0:00:00	15-11-2003 0:00:00	12-11-2003 0:00:00	Shipped		386
10177	7-11-2003 0:00:00	17-11-2003 0:00:00	12-11-2003 0:00:00	Shipped		344
10178	8-11-2003 0:00:00	16-11-2003 0:00:00	10-11-2003 0:00:00	Shipped	Custom shipping instructions sent to warehouse	242
10179	11-11-2003 0:00:00	17-11-2003 0:00:00	13-11-2003 0:00:00	Cancelled	Customer cancelled due to urgent budgeting issues. Must be cautious when dealing with them in the future. Since order shipped already we must discuss who would cover the shipping charges.	496
10180	11-11-2003 0:00:00	19-11-2003 0:00:00	14-11-2003 0:00:00	Shipped		171
10181	12-11-2003 0:00:00	19-11-2003 0:00:00	15-11-2003 0:00:00	Shipped		167
10182	12-11-2003 0:00:00	21-11-2003 0:00:00	18-11-2003 0:00:00	Shipped		124
10183	13-11-2003 0:00:00	22-11-2003 0:00:00	15-11-2003 0:00:00	Shipped	We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.	339
10184	14-11-2003 0:00:00	22-11-2003 0:00:00	20-11-2003 0:00:00	Shipped		484
10185	14-11-2003 0:00:00	21-11-2003 0:00:00	20-11-2003 0:00:00	Shipped		320
10186	14-11-2003 0:00:00	20-11-2003 0:00:00	18-11-2003 0:00:00	Shipped	They want to reevaluate their terms agreement with the VP of Sales	489
10187	15-11-2003 0:00:00	24-11-2003 0:00:00	16-11-2003 0:00:00	Shipped		211
10188	18-11-2003 0:00:00	26-11-2003 0:00:00	24-11-2003 0:00:00	Shipped		167
10189	18-11-2003 0:00:00	25-11-2003 0:00:00	24-11-2003 0:00:00	Shipped	They want to reevaluate their terms agreement with Finance.	205
10190	19-11-2003 0:00:00	29-11-2003 0:00:00	20-11-2003 0:00:00	Shipped		141
10191	20-11-2003 0:00:00	30-11-2003 0:00:00	24-11-2003 0:00:00	Shipped	We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.	259
10192	20-11-2003 0:00:00	29-11-2003 0:00:00	25-11-2003 0:00:00	Shipped		363
10193	21-11-2003 0:00:00	28-11-2003 0:00:00	27-11-2003 0:00:00	Shipped		471
10194	25-11-2003 0:00:00	2-12-2003 0:00:00	26-11-2003 0:00:00	Shipped		146
10195	25-11-2003 0:00:00	1-12-2003 0:00:00	28-11-2003 0:00:00	Shipped		319
10196	26-11-2003 0:00:00	3-12-2003 0:00:00	1-12-2003 0:00:00	Shipped		455
10197	26-11-2003 0:00:00	2-12-2003 0:00:00	1-12-2003 0:00:00	Shipped	Customer inquired about remote controlled models and gold models.	216
10198	27-11-2003 0:00:00	6-12-2003 0:00:00	3-12-2003 0:00:00	Shipped		385
10199	1-12-2003 0:00:00	10-12-2003 0:00:00	6-12-2003 0:00:00	Shipped		475
10200	1-12-2003 0:00:00	9-12-2003 0:00:00	6-12-2003 0:00:00	Shipped		211
10201	1-12-2003 0:00:00	11-12-2003 0:00:00	2-12-2003 0:00:00	Shipped		129
10202	2-12-2003 0:00:00	9-12-2003 0:00:00	6-12-2003 0:00:00	Shipped		357
10203	2-12-2003 0:00:00	11-12-2003 0:00:00	7-12-2003 0:00:00	Shipped		141
10204	2-12-2003 0:00:00	10-12-2003 0:00:00	4-12-2003 0:00:00	Shipped		151
10205	3-12-2003 0:00:00	9-12-2003 0:00:00	7-12-2003 0:00:00	Shipped	 I need all the information I can get on our competitors.	141
10206	5-12-2003 0:00:00	13-12-2003 0:00:00	8-12-2003 0:00:00	Shipped	Can we renegotiate this one?	202
10207	9-12-2003 0:00:00	17-12-2003 0:00:00	11-12-2003 0:00:00	Shipped	Check on availability.	495
10208	2-1-2004 0:00:00	11-1-2004 0:00:00	4-1-2004 0:00:00	Shipped		146
10209	9-1-2004 0:00:00	15-1-2004 0:00:00	12-1-2004 0:00:00	Shipped		347
10210	12-1-2004 0:00:00	22-1-2004 0:00:00	20-1-2004 0:00:00	Shipped		177
10211	15-1-2004 0:00:00	25-1-2004 0:00:00	18-1-2004 0:00:00	Shipped		406
10212	16-1-2004 0:00:00	24-1-2004 0:00:00	18-1-2004 0:00:00	Shipped		141
10213	22-1-2004 0:00:00	28-1-2004 0:00:00	27-1-2004 0:00:00	Shipped	Difficult to negotiate with customer. We need more marketing materials	489
10214	26-1-2004 0:00:00	4-2-2004 0:00:00	29-1-2004 0:00:00	Shipped		458
10215	29-1-2004 0:00:00	8-2-2004 0:00:00	1-2-2004 0:00:00	Shipped	Customer requested that FedEx Ground is used for this shipping	475
10216	2-2-2004 0:00:00	10-2-2004 0:00:00	4-2-2004 0:00:00	Shipped		256
10217	4-2-2004 0:00:00	14-2-2004 0:00:00	6-2-2004 0:00:00	Shipped		166
10218	9-2-2004 0:00:00	16-2-2004 0:00:00	11-2-2004 0:00:00	Shipped	Customer requested that ad materials (such as posters, pamphlets) be included in the shippment	473
10219	10-2-2004 0:00:00	17-2-2004 0:00:00	12-2-2004 0:00:00	Shipped		487
10220	12-2-2004 0:00:00	19-2-2004 0:00:00	16-2-2004 0:00:00	Shipped		189
10221	18-2-2004 0:00:00	26-2-2004 0:00:00	19-2-2004 0:00:00	Shipped		314
10222	19-2-2004 0:00:00	27-2-2004 0:00:00	20-2-2004 0:00:00	Shipped		239
10223	20-2-2004 0:00:00	29-2-2004 0:00:00	24-2-2004 0:00:00	Shipped		114
10224	21-2-2004 0:00:00	2-3-2004 0:00:00	26-2-2004 0:00:00	Shipped	Customer has worked with some of our vendors in the past and is aware of their MSRP	171
10225	22-2-2004 0:00:00	1-3-2004 0:00:00	24-2-2004 0:00:00	Shipped		298
10226	26-2-2004 0:00:00	6-3-2004 0:00:00	2-3-2004 0:00:00	Shipped		239
10227	2-3-2004 0:00:00	12-3-2004 0:00:00	8-3-2004 0:00:00	Shipped		146
10228	10-3-2004 0:00:00	18-3-2004 0:00:00	13-3-2004 0:00:00	Shipped		173
10229	11-3-2004 0:00:00	20-3-2004 0:00:00	12-3-2004 0:00:00	Shipped		124
10230	15-3-2004 0:00:00	24-3-2004 0:00:00	20-3-2004 0:00:00	Shipped	Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch	128
10231	19-3-2004 0:00:00	26-3-2004 0:00:00	25-3-2004 0:00:00	Shipped		344
10232	20-3-2004 0:00:00	30-3-2004 0:00:00	25-3-2004 0:00:00	Shipped		240
10233	29-3-2004 0:00:00	4-4-2004 0:00:00	2-4-2004 0:00:00	Shipped	Customer requested special shippment. The instructions were passed along to the warehouse	328
10234	30-3-2004 0:00:00	5-4-2004 0:00:00	2-4-2004 0:00:00	Shipped		412
10235	2-4-2004 0:00:00	12-4-2004 0:00:00	6-4-2004 0:00:00	Shipped		260
10236	3-4-2004 0:00:00	11-4-2004 0:00:00	8-4-2004 0:00:00	Shipped		486
10237	5-4-2004 0:00:00	12-4-2004 0:00:00	10-4-2004 0:00:00	Shipped		181
10238	9-4-2004 0:00:00	16-4-2004 0:00:00	10-4-2004 0:00:00	Shipped		145
10239	12-4-2004 0:00:00	21-4-2004 0:00:00	17-4-2004 0:00:00	Shipped		311
10240	13-4-2004 0:00:00	20-4-2004 0:00:00	20-4-2004 0:00:00	Shipped		177
10241	13-4-2004 0:00:00	20-4-2004 0:00:00	19-4-2004 0:00:00	Shipped		209
10242	20-4-2004 0:00:00	28-4-2004 0:00:00	25-4-2004 0:00:00	Shipped	Customer is interested in buying more Ferrari models	456
10243	26-4-2004 0:00:00	3-5-2004 0:00:00	28-4-2004 0:00:00	Shipped		495
10244	29-4-2004 0:00:00	9-5-2004 0:00:00	4-5-2004 0:00:00	Shipped		141
10245	4-5-2004 0:00:00	12-5-2004 0:00:00	9-5-2004 0:00:00	Shipped		455
10246	5-5-2004 0:00:00	13-5-2004 0:00:00	6-5-2004 0:00:00	Shipped		141
10247	5-5-2004 0:00:00	11-5-2004 0:00:00	8-5-2004 0:00:00	Shipped		334
10248	7-5-2004 0:00:00	14-5-2004 0:00:00		Cancelled	Order was mistakenly placed. The warehouse noticed the lack of documentation.	131
10249	8-5-2004 0:00:00	17-5-2004 0:00:00	11-5-2004 0:00:00	Shipped	Can we deliver the new Ford Mustang models by end-of-quarter?	173
10250	11-5-2004 0:00:00	19-5-2004 0:00:00	15-5-2004 0:00:00	Shipped		450
10251	18-5-2004 0:00:00	24-5-2004 0:00:00	24-5-2004 0:00:00	Shipped		328
10252	26-5-2004 0:00:00	4-6-2004 0:00:00	29-5-2004 0:00:00	Shipped		406
10253	1-6-2004 0:00:00	9-6-2004 0:00:00	2-6-2004 0:00:00	Cancelled	Customer disputed the order and we agreed to cancel it. We must be more cautions with this customer going forward, since they are very hard to please. We must cover the shipping fees.	201
10254	3-6-2004 0:00:00	13-6-2004 0:00:00	4-6-2004 0:00:00	Shipped	Customer requested that DHL is used for this shipping	323
10255	4-6-2004 0:00:00	12-6-2004 0:00:00	9-6-2004 0:00:00	Shipped		209
10256	8-6-2004 0:00:00	16-6-2004 0:00:00	10-6-2004 0:00:00	Shipped		145
10257	14-6-2004 0:00:00	24-6-2004 0:00:00	15-6-2004 0:00:00	Shipped		450
10258	15-6-2004 0:00:00	25-6-2004 0:00:00	23-6-2004 0:00:00	Shipped		398
10259	15-6-2004 0:00:00	22-6-2004 0:00:00	17-6-2004 0:00:00	Shipped		166
10260	16-6-2004 0:00:00	22-6-2004 0:00:00		Cancelled	Customer heard complaints from their customers and called to cancel this order. Will notify the Sales Manager.	357
10261	17-6-2004 0:00:00	25-6-2004 0:00:00	22-6-2004 0:00:00	Shipped		233
10262	24-6-2004 0:00:00	1-7-2004 0:00:00		Cancelled	This customer found a better offer from one of our competitors. Will call back to renegotiate.	141
10263	28-6-2004 0:00:00	4-7-2004 0:00:00	2-7-2004 0:00:00	Shipped		175
10264	30-6-2004 0:00:00	6-7-2004 0:00:00	1-7-2004 0:00:00	Shipped	Customer will send a truck to our local warehouse on 7/1/2004	362
10265	2-7-2004 0:00:00	9-7-2004 0:00:00	7-7-2004 0:00:00	Shipped		471
10266	6-7-2004 0:00:00	14-7-2004 0:00:00	10-7-2004 0:00:00	Shipped		386
10267	7-7-2004 0:00:00	17-7-2004 0:00:00	9-7-2004 0:00:00	Shipped		151
10268	12-7-2004 0:00:00	18-7-2004 0:00:00	14-7-2004 0:00:00	Shipped		412
10269	16-7-2004 0:00:00	22-7-2004 0:00:00	18-7-2004 0:00:00	Shipped		382
10270	19-7-2004 0:00:00	27-7-2004 0:00:00	24-7-2004 0:00:00	Shipped	Can we renegotiate this one?	282
10271	20-7-2004 0:00:00	29-7-2004 0:00:00	23-7-2004 0:00:00	Shipped		124
10272	20-7-2004 0:00:00	26-7-2004 0:00:00	22-7-2004 0:00:00	Shipped		157
10273	21-7-2004 0:00:00	28-7-2004 0:00:00	22-7-2004 0:00:00	Shipped		314
10274	21-7-2004 0:00:00	29-7-2004 0:00:00	22-7-2004 0:00:00	Shipped		379
10275	23-7-2004 0:00:00	2-8-2004 0:00:00	29-7-2004 0:00:00	Shipped		119
10276	2-8-2004 0:00:00	11-8-2004 0:00:00	8-8-2004 0:00:00	Shipped		204
10277	4-8-2004 0:00:00	12-8-2004 0:00:00	5-8-2004 0:00:00	Shipped		148
10278	6-8-2004 0:00:00	16-8-2004 0:00:00	9-8-2004 0:00:00	Shipped		112
10279	9-8-2004 0:00:00	19-8-2004 0:00:00	15-8-2004 0:00:00	Shipped	Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches	141
10280	17-8-2004 0:00:00	27-8-2004 0:00:00	19-8-2004 0:00:00	Shipped		249
10281	19-8-2004 0:00:00	28-8-2004 0:00:00	23-8-2004 0:00:00	Shipped		157
10282	20-8-2004 0:00:00	26-8-2004 0:00:00	22-8-2004 0:00:00	Shipped		124
10283	20-8-2004 0:00:00	30-8-2004 0:00:00	23-8-2004 0:00:00	Shipped		260
10284	21-8-2004 0:00:00	29-8-2004 0:00:00	26-8-2004 0:00:00	Shipped	Custom shipping instructions sent to warehouse	299
10285	27-8-2004 0:00:00	4-9-2004 0:00:00	31-8-2004 0:00:00	Shipped		286
10286	28-8-2004 0:00:00	6-9-2004 0:00:00	1-9-2004 0:00:00	Shipped		172
10287	30-8-2004 0:00:00	6-9-2004 0:00:00	1-9-2004 0:00:00	Shipped		298
10288	1-9-2004 0:00:00	11-9-2004 0:00:00	5-9-2004 0:00:00	Shipped		166
10289	3-9-2004 0:00:00	13-9-2004 0:00:00	4-9-2004 0:00:00	Shipped	We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.	167
10290	7-9-2004 0:00:00	15-9-2004 0:00:00	13-9-2004 0:00:00	Shipped		198
10291	8-9-2004 0:00:00	17-9-2004 0:00:00	14-9-2004 0:00:00	Shipped		448
10292	8-9-2004 0:00:00	18-9-2004 0:00:00	11-9-2004 0:00:00	Shipped	They want to reevaluate their terms agreement with Finance.	131
10293	9-9-2004 0:00:00	18-9-2004 0:00:00	14-9-2004 0:00:00	Shipped		249
10294	10-9-2004 0:00:00	17-9-2004 0:00:00	14-9-2004 0:00:00	Shipped		204
10295	10-9-2004 0:00:00	17-9-2004 0:00:00	14-9-2004 0:00:00	Shipped	They want to reevaluate their terms agreement with Finance.	362
10296	15-9-2004 0:00:00	22-9-2004 0:00:00	16-9-2004 0:00:00	Shipped		415
10297	16-9-2004 0:00:00	22-9-2004 0:00:00	21-9-2004 0:00:00	Shipped	We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.	189
10298	27-9-2004 0:00:00	5-10-2004 0:00:00	1-10-2004 0:00:00	Shipped		103
10299	30-9-2004 0:00:00	10-10-2004 0:00:00	1-10-2004 0:00:00	Shipped		186
10300	4-10-2003 0:00:00	13-10-2003 0:00:00	9-10-2003 0:00:00	Shipped		128
10301	5-10-2003 0:00:00	15-10-2003 0:00:00	8-10-2003 0:00:00	Shipped		299
10302	6-10-2003 0:00:00	16-10-2003 0:00:00	7-10-2003 0:00:00	Shipped		201
10303	6-10-2004 0:00:00	14-10-2004 0:00:00	9-10-2004 0:00:00	Shipped	Customer inquired about remote controlled models and gold models.	484
10304	11-10-2004 0:00:00	20-10-2004 0:00:00	17-10-2004 0:00:00	Shipped		256
10305	13-10-2004 0:00:00	22-10-2004 0:00:00	15-10-2004 0:00:00	Shipped	Check on availability.	286
10306	14-10-2004 0:00:00	21-10-2004 0:00:00	17-10-2004 0:00:00	Shipped		187
10307	14-10-2004 0:00:00	23-10-2004 0:00:00	20-10-2004 0:00:00	Shipped		339
10308	15-10-2004 0:00:00	24-10-2004 0:00:00	20-10-2004 0:00:00	Shipped	Customer requested that FedEx Ground is used for this shipping	319
10309	15-10-2004 0:00:00	24-10-2004 0:00:00	18-10-2004 0:00:00	Shipped		121
10310	16-10-2004 0:00:00	24-10-2004 0:00:00	18-10-2004 0:00:00	Shipped		259
10311	16-10-2004 0:00:00	23-10-2004 0:00:00	20-10-2004 0:00:00	Shipped	Difficult to negotiate with customer. We need more marketing materials	141
10312	21-10-2004 0:00:00	27-10-2004 0:00:00	23-10-2004 0:00:00	Shipped		124
10313	22-10-2004 0:00:00	28-10-2004 0:00:00	25-10-2004 0:00:00	Shipped	Customer requested that FedEx Ground is used for this shipping	202
10314	22-10-2004 0:00:00	1-11-2004 0:00:00	23-10-2004 0:00:00	Shipped		227
10315	29-10-2004 0:00:00	8-11-2004 0:00:00	30-10-2004 0:00:00	Shipped		119
10316	1-11-2004 0:00:00	9-11-2004 0:00:00	7-11-2004 0:00:00	Shipped	Customer requested that ad materials (such as posters, pamphlets) be included in the shippment	240
10317	2-11-2004 0:00:00	12-11-2004 0:00:00	8-11-2004 0:00:00	Shipped		161
10318	2-11-2004 0:00:00	9-11-2004 0:00:00	7-11-2004 0:00:00	Shipped		157
10319	3-11-2004 0:00:00	11-11-2004 0:00:00	6-11-2004 0:00:00	Shipped	Customer requested that DHL is used for this shipping	456
10320	3-11-2004 0:00:00	13-11-2004 0:00:00	7-11-2004 0:00:00	Shipped		144
10321	4-11-2004 0:00:00	12-11-2004 0:00:00	7-11-2004 0:00:00	Shipped		462
10322	4-11-2004 0:00:00	12-11-2004 0:00:00	10-11-2004 0:00:00	Shipped	Customer has worked with some of our vendors in the past and is aware of their MSRP	363
10323	5-11-2004 0:00:00	12-11-2004 0:00:00	9-11-2004 0:00:00	Shipped		128
10324	5-11-2004 0:00:00	11-11-2004 0:00:00	8-11-2004 0:00:00	Shipped		181
10325	5-11-2004 0:00:00	13-11-2004 0:00:00	8-11-2004 0:00:00	Shipped		121
10326	9-11-2004 0:00:00	16-11-2004 0:00:00	10-11-2004 0:00:00	Shipped		144
10327	10-11-2004 0:00:00	19-11-2004 0:00:00	13-11-2004 0:00:00	Resolved	Order was disputed and resolved on 12/1/04. The Sales Manager was involved. Customer claims the scales of the models don't match what was discussed.	145
10328	12-11-2004 0:00:00	21-11-2004 0:00:00	18-11-2004 0:00:00	Shipped	Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch	278
10329	15-11-2004 0:00:00	24-11-2004 0:00:00	16-11-2004 0:00:00	Shipped		131
10330	16-11-2004 0:00:00	25-11-2004 0:00:00	21-11-2004 0:00:00	Shipped		385
10331	17-11-2004 0:00:00	23-11-2004 0:00:00	23-11-2004 0:00:00	Shipped	Customer requested special shippment. The instructions were passed along to the warehouse	486
10332	17-11-2004 0:00:00	25-11-2004 0:00:00	18-11-2004 0:00:00	Shipped		187
10333	18-11-2004 0:00:00	27-11-2004 0:00:00	20-11-2004 0:00:00	Shipped		129
10334	19-11-2004 0:00:00	28-11-2004 0:00:00		On Hold	The outstaniding balance for this customer exceeds their credit limit. Order will be shipped when a payment is received.	144
10335	19-11-2004 0:00:00	29-11-2004 0:00:00	23-11-2004 0:00:00	Shipped		124
10336	20-11-2004 0:00:00	26-11-2004 0:00:00	24-11-2004 0:00:00	Shipped	Customer requested that DHL is used for this shipping	172
10337	21-11-2004 0:00:00	30-11-2004 0:00:00	26-11-2004 0:00:00	Shipped		424
10338	22-11-2004 0:00:00	2-12-2004 0:00:00	27-11-2004 0:00:00	Shipped		381
10339	23-11-2004 0:00:00	30-11-2004 0:00:00	30-11-2004 0:00:00	Shipped		398
10340	24-11-2004 0:00:00	1-12-2004 0:00:00	25-11-2004 0:00:00	Shipped	Customer is interested in buying more Ferrari models	216
10341	24-11-2004 0:00:00	1-12-2004 0:00:00	29-11-2004 0:00:00	Shipped		382
10342	24-11-2004 0:00:00	1-12-2004 0:00:00	29-11-2004 0:00:00	Shipped		114
10343	24-11-2004 0:00:00	1-12-2004 0:00:00	26-11-2004 0:00:00	Shipped		353
10344	25-11-2004 0:00:00	2-12-2004 0:00:00	29-11-2004 0:00:00	Shipped		350
10345	25-11-2004 0:00:00	1-12-2004 0:00:00	26-11-2004 0:00:00	Shipped		103
10346	29-11-2004 0:00:00	5-12-2004 0:00:00	30-11-2004 0:00:00	Shipped		112
10347	29-11-2004 0:00:00	7-12-2004 0:00:00	30-11-2004 0:00:00	Shipped	Can we deliver the new Ford Mustang models by end-of-quarter?	114
10348	1-11-2004 0:00:00	8-11-2004 0:00:00	5-11-2004 0:00:00	Shipped		458
10349	1-12-2004 0:00:00	7-12-2004 0:00:00	3-12-2004 0:00:00	Shipped		151
10350	2-12-2004 0:00:00	8-12-2004 0:00:00	5-12-2004 0:00:00	Shipped		141
